time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-08 00:00:00+00:00,4,4,,
2023-01-09 00:00:00+00:00,3,3,20.0,9.0
2023-01-10 00:00:00+00:00,4,4,36.0,13.0
2023-01-11 00:00:00+00:00,2,2,93.0,21.0
2023-01-12 00:00:00+00:00,2,2,87.0,20.0
2023-01-13 00:00:00+00:00,3,3,14.0,10.0
2023-01-14 00:00:00+00:00,2,2,51.0,2.0
2023-01-15 00:00:00+00:00,2,2,1.0,1.0
2023-01-16 00:00:00+00:00,31,5,39.0,10.0
2023-01-17 00:00:00+00:00,18,3,41.0,11.0
2023-01-18 00:00:00+00:00,9,5,140.0,13.0
2023-01-19 00:00:00+00:00,10,5,54.0,12.0
2023-01-20 00:00:00+00:00,4,3,17.0,8.0
2023-01-21 00:00:00+00:00,8,1,47.0,5.0
