time_iso8601,stars_cumulative
2022-07-20 00:00:00+00:00,1
2022-07-29 00:00:00+00:00,2
2022-08-15 00:00:00+00:00,3
2022-08-18 00:00:00+00:00,4
2022-08-24 00:00:00+00:00,13
2022-08-25 00:00:00+00:00,30
2022-08-26 00:00:00+00:00,32
2022-08-28 00:00:00+00:00,35
2022-08-30 00:00:00+00:00,36
2022-08-31 00:00:00+00:00,37
2022-09-01 00:00:00+00:00,38
2022-09-03 00:00:00+00:00,39
2022-09-06 00:00:00+00:00,40
2022-10-09 00:00:00+00:00,41
2022-10-18 00:00:00+00:00,42
2022-10-19 00:00:00+00:00,46
2022-10-24 00:00:00+00:00,47
2022-10-26 00:00:00+00:00,48
2022-11-03 00:00:00+00:00,49
2022-11-04 00:00:00+00:00,51
2022-11-07 00:00:00+00:00,52
