o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
4200001,13726,F,99406.41,1994-02-21,3-MEDIUM,Clerk#000000128,0,eep. final deposits are after t
4200002,129376,O,256838.41,1997-04-14,4-NOT SPECIFIED,Clerk#000000281,0,ke carefully. blithely regular epitaphs are among the q
4200003,141613,O,150849.49,1997-11-24,4-NOT SPECIFIED,Clerk#000000585,0,cial accounts. theodolites are carefully. pending re
4200004,23515,O,178688.27,1996-12-09,2-HIGH,Clerk#000000632,0,sual requests against the always special packages breach fur
4200005,97687,O,261742.31,1997-02-01,2-HIGH,Clerk#000000562,0,"t slyly above the pending, final accounts? regular deposits wake slyly alongs"
4200006,49576,F,263616.19,1993-12-31,5-LOW,Clerk#000000650,0,"ackages; final, special ideas believe "
4200007,109334,O,13770.81,1995-09-22,1-URGENT,Clerk#000000885,0,are against the ironic theodolites. evenly pending idea
4200032,72820,F,64160.97,1994-12-21,5-LOW,Clerk#000000302,0,n deposits wake quickly pinto beans. bold instructions integrate? never 
4200033,22528,O,218653.88,1996-03-24,4-NOT SPECIFIED,Clerk#000000868,0,ccounts. carefully final deposits above the fluffily unusu
4200034,147128,O,131709.30,1998-06-24,3-MEDIUM,Clerk#000000825,0," nag fluffily ironic, pendi"
4200035,21073,F,294295.58,1993-12-08,2-HIGH,Clerk#000000140,0,uests. evenly even theodolites
4200036,2356,F,185232.08,1994-10-16,5-LOW,Clerk#000000791,0,ong the final theod
4200037,121961,O,80038.79,1996-06-09,3-MEDIUM,Clerk#000000443,0,al deposits eat slyly toward the carefully pending foxes-- carefully f
4200038,41926,F,79546.15,1992-04-07,5-LOW,Clerk#000000207,0,"ts. regular, final "
4200039,75148,F,126355.21,1994-08-11,3-MEDIUM,Clerk#000000636,0,ts. accounts after the final packages are bold deposits. f
4200064,8056,F,158517.35,1994-12-06,2-HIGH,Clerk#000000771,0,urts. unusual packages haggle quickly across the fluffily pending ideas! sl
4200065,96104,F,231065.77,1994-04-26,1-URGENT,Clerk#000000379,0,ng requests. platelets boost; carefully spe
4200066,7693,O,57843.63,1995-06-02,4-NOT SPECIFIED,Clerk#000000483,0,c instructions above the blithely express packages
4200067,125657,F,19995.03,1992-05-10,5-LOW,Clerk#000000349,0,. fluffily regular instruction
4200068,55922,F,90606.11,1994-10-29,3-MEDIUM,Clerk#000000420,0,ly express ideas. evenly pending deposits cajole. unusual packages use fu
4200069,126707,O,86344.55,1997-02-11,5-LOW,Clerk#000000202,0,ironic packages lose blithely above the sometimes special forges. blithe
4200070,147769,F,203632.30,1994-07-13,3-MEDIUM,Clerk#000000627,0,"n, ironic deposits cajole slyly abov"
4200071,77,O,203555.61,1996-09-11,5-LOW,Clerk#000000890,0,express packages sleep blithely. slyly pending packages sleep blithely bold e
4200096,86140,O,131903.16,1996-03-12,4-NOT SPECIFIED,Clerk#000000812,0,lyly regular instructions nod packages. furiously unus
4200097,100609,O,159224.37,1996-09-18,3-MEDIUM,Clerk#000000030,0,? packages cajole across the dependencie
4200098,108359,O,264115.22,1996-08-05,3-MEDIUM,Clerk#000000733,0,ters. blithely permanent dolphins are furiously carefully bold de
4200099,29578,O,97624.33,1998-02-28,1-URGENT,Clerk#000000578,0,carefully across the regularly special deposits.
4200100,1108,O,138024.57,1996-02-01,3-MEDIUM,Clerk#000000819,0,sely special accounts boost above the even instructions. fl
4200101,21770,F,108184.24,1994-08-26,2-HIGH,Clerk#000000820,0,lithely unusual requests wake carefully against the carefu
4200102,37018,F,147061.41,1993-01-04,1-URGENT,Clerk#000000931,0,y unusual requests. blithely ironic fo
